,Job Title,Company Name,Location,Sector,City,State
99,Machine Learning Engineer/Scientist,"Jane Street
4.8","New York, NY",Finance,New York,New York
100,Point72 Healthcare Data Scientist,"Point72
3.9","New York, NY",Finance,New York,New York
101,Senior Data Scientist - Automated Marketing,"Spotify
3.8","New York, NY",Information Technology,New York,New York
102,Data Scientist,"Averity
5.0","New York, NY",Business Services,New York,New York
103,Data Scientist,"The CARIAN Group
4.2","New York, NY",Business Services,New York,New York
104,Machine Learning & Data Engineer (Remote),"Jun Group Productions LLC
4.7","New York, NY",Information Technology,New York,New York
105,Data Scientist,GradTests (gradtests.com),"New York, NY",-1,New York,New York
106,Data Scientist,"Committee of 100
2.8","New York, NY",Non-Profit,New York,New York
107,Data Scientist / Statistician,"NJF Global Holdings
4.2","New York, NY",Business Services,New York,New York
108,Data Analyst,"DMGT
4.0","New York, NY",Finance,New York,New York
109,Data Scientist (Java),"ubergig
4.9","New York, NY",Business Services,New York,New York
110,Data Scientist,"OneWire
4.0","New York, NY",Business Services,New York,New York
111,Data Scientist,"Thomas
3.4","New York, NY",Business Services,New York,New York
112,Data Scientist,"TBWA\Chiat\Day
2.7","New York, NY",Business Services,New York,New York
113,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,"Internal Revenue Service
3.5","New York, NY",Government,New York,New York
114,Data Scientist,"Harry and David, LLC
3.4","Carle Place, NY",Retail,Carle Place,New York
115,Data Science Specialist USA,"Mphasis limited
3.3","New York, NY",Information Technology,New York,New York
116,Senior Data Scientist,"Foursquare
2.5","New York, NY",Information Technology,New York,New York
117,Data Scientist,Glean Analytics Inc.,"New York, NY",-1,New York,New York
118,"Quantitative Developer, Data & Institutional Markets","Ripple
4.4","New York, NY",Information Technology,New York,New York
119,"Data Scientist, Two Sigma Private Investments","Two Sigma
4.4","New York, NY",Finance,New York,New York
120,"Senior Data Scientist, Game Analytics","Rockstar Games
4.1","New York, NY",Media,New York,New York
121,Data Scientist,"TechProjects
4.8","New York, NY",Information Technology,New York,New York
122,Data Scientist,"Spring Health
3.6","New York, NY",Health Care,New York,New York
123,Senior Data Scientist,"Grubhub
3.8","New York, NY",Information Technology,New York,New York
124,Data Scientist,"SkillSoniq
5.0","New York, NY",-1,New York,New York
125,Data Scientist - Demand Forecasting,"Amazon
3.9","New York, NY",Information Technology,New York,New York
126,Senior Data Scientist,"Arena
4.5","New York, NY",Information Technology,New York,New York
127,Quantitative Analyst Intern,"D. E. Shaw & Co.
4.4","New York, NY",Finance,New York,New York
128,"Data Scientist / Analytics, Data Engineering","Sphinix Solutions
1.0","New York, NY",Information Technology,New York,New York
129,Data Analyst (Games),Carry1st,"New York, NY",-1,New York,New York
130,Data Scientist,"Lorven Technologies Inc
4.0","New York, NY",Accounting & Legal,New York,New York
131,Sports Betting Data Scientist,Line Sniper,"New York, NY",-1,New York,New York
132,Data Scientist,"Strategic Financial Solutions
3.6","New York, NY",Consumer Services,New York,New York
133,Data Scientist,"Audible
3.7","Newark, NJ",Media,Newark,New Jersey
134,Data Scientist,"Voice
3.4","Brooklyn, NY",-1,Brooklyn,New York
135,Data Engineer,"Seated
4.7","New York, NY",Information Technology,New York,New York
136,"Senior / Data Scientist, Ads and Messaging R&D","Spotify
3.8","New York, NY",Information Technology,New York,New York
137,Data Scientist/Data Science Instructor (Part-time),"NYC Data Science Academy
4.9","New York, NY",Education,New York,New York
138,Federal - Data Scientist,"Solekai Systems Corp
4.2","New York, NY",Information Technology,New York,New York
139,Data Scientist,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",Information Technology,Franklin Lakes,New Jersey
